seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
18,25,0.25,1,8001,133240.1328,TRUE,FALSE,1.9
19,25,0.25,1,8001,136058.52,TRUE,FALSE,1.9
0,25,0.25,1,8001,192719.4042,TRUE,FALSE,2.1
1,25,0.25,1,8001,205517.3118,TRUE,FALSE,2.1
2,25,0.25,1,8001,206973.8561,TRUE,FALSE,2.1
3,25,0.25,1,8001,194231.3713,TRUE,FALSE,2.1
4,25,0.25,1,8001,205674.6168,TRUE,FALSE,2.1
5,25,0.25,1,8001,204491.511,TRUE,FALSE,2.1
6,25,0.25,1,8001,195491.6632,TRUE,FALSE,2.1
7,25,0.25,1,8001,219122.6001,TRUE,FALSE,2.1
8,25,0.25,1,8001,194369.5297,TRUE,FALSE,2.1
9,25,0.25,1,8001,189693.5062,TRUE,FALSE,2.1
10,25,0.25,1,8001,214500.4901,TRUE,FALSE,2.1
11,25,0.25,1,8001,210592.3752,TRUE,FALSE,2.1
12,25,0.25,1,8001,197112.7867,TRUE,FALSE,2.1
13,25,0.25,1,8001,209040.4317,TRUE,FALSE,2.1
14,25,0.25,1,8001,208828.4965,TRUE,FALSE,2.1
15,25,0.25,1,8001,191977.4626,TRUE,FALSE,2.1
16,25,0.25,1,8001,205407.4043,TRUE,FALSE,2.1
17,25,0.25,1,8001,207309.7067,TRUE,FALSE,2.1
18,25,0.25,1,8001,210196.2206,TRUE,FALSE,2.1
19,25,0.25,1,8001,208865.471,TRUE,FALSE,2.1
0,25,0.25,1,8001,272428.0326,TRUE,FALSE,2.3
1,25,0.25,1,8001,264689.7524,TRUE,FALSE,2.3
2,25,0.25,1,8001,271525.4839,TRUE,FALSE,2.3
3,25,0.25,1,8001,271568.55,TRUE,FALSE,2.3
4,25,0.25,1,8001,263330.0229,TRUE,FALSE,2.3
5,25,0.25,1,8001,260688.4176,TRUE,FALSE,2.3
6,25,0.25,1,8001,265199.8923,TRUE,FALSE,2.3
7,25,0.25,1,8001,257703.7903,TRUE,FALSE,2.3
8,25,0.25,1,8001,260614.3384,TRUE,FALSE,2.3
9,25,0.25,1,8001,253742.1174,TRUE,FALSE,2.3
10,25,0.25,1,8001,264445.304,TRUE,FALSE,2.3
11,25,0.25,1,8001,266755.7268,TRUE,FALSE,2.3
12,25,0.25,1,8001,256075.9199,TRUE,FALSE,2.3
13,25,0.25,1,8001,263830.3955,TRUE,FALSE,2.3
14,25,0.25,1,8001,268234.9482,TRUE,FALSE,2.3
15,25,0.25,1,8001,254642.8974,TRUE,FALSE,2.3
16,25,0.25,1,8001,257137.3609,TRUE,FALSE,2.3
17,25,0.25,1,8001,256670.3309,TRUE,FALSE,2.3
18,25,0.25,1,8001,264487.9854,TRUE,FALSE,2.3
19,25,0.25,1,8001,269445.8457,TRUE,FALSE,2.3
0,25,0.25,1,8001,333149.3989,TRUE,FALSE,2.5
1,25,0.25,1,8001,332659.0618,TRUE,FALSE,2.5
2,25,0.25,1,8001,330099.9046,TRUE,FALSE,2.5
3,25,0.25,1,8001,321788.7242,TRUE,FALSE,2.5
4,25,0.25,1,8001,334919.6696,TRUE,FALSE,2.5
5,25,0.25,1,8001,325537.6799,TRUE,FALSE,2.5
6,25,0.25,1,8001,333079.4524,TRUE,FALSE,2.5
7,25,0.25,1,8001,333868.1388,TRUE,FALSE,2.5
8,25,0.25,1,8001,334964.1236,TRUE,FALSE,2.5
9,25,0.25,1,8001,333730.2938,TRUE,FALSE,2.5
10,25,0.25,1,8001,334843.4485,TRUE,FALSE,2.5
11,25,0.25,1,8001,324159.9457,TRUE,FALSE,2.5
12,25,0.25,1,8001,321140.1585,TRUE,FALSE,2.5
13,25,0.25,1,8001,333738.8454,TRUE,FALSE,2.5
14,25,0.25,1,8001,328839.1175,TRUE,FALSE,2.5
15,25,0.25,1,8001,335958.6236,TRUE,FALSE,2.5
16,25,0.25,1,8001,331477.4919,TRUE,FALSE,2.5
17,25,0.25,1,8001,334919.7054,TRUE,FALSE,2.5
18,25,0.25,1,8001,326819.1156,TRUE,FALSE,2.5
19,25,0.25,1,8001,335979.4987,TRUE,FALSE,2.5
0,25,0.25,1,8001,359668.2843,TRUE,FALSE,2.7
1,25,0.25,1,8001,356021.6215,TRUE,FALSE,2.7
2,25,0.25,1,8001,358042.7202,TRUE,FALSE,2.7
3,25,0.25,1,8001,366021.0472,TRUE,FALSE,2.7
4,25,0.25,1,8001,372765.6507,TRUE,FALSE,2.7
5,25,0.25,1,8001,358482.4466,TRUE,FALSE,2.7
6,25,0.25,1,4688,215487.2651,FALSE,TRUE,2.7
7,25,0.25,1,8001,362022.8898,TRUE,FALSE,2.7
8,25,0.25,1,8001,358255.1652,TRUE,FALSE,2.7
9,25,0.25,1,1815,79697.7228,FALSE,TRUE,2.7
10,25,0.25,1,8001,358746.926,TRUE,FALSE,2.7
11,25,0.25,1,1573,69926.82601,FALSE,TRUE,2.7
12,25,0.25,1,8001,363078.1411,TRUE,FALSE,2.7
13,25,0.25,1,8001,362233.6736,TRUE,FALSE,2.7
14,25,0.25,1,8001,358158.1883,TRUE,FALSE,2.7
15,25,0.25,1,8001,363525.6016,TRUE,FALSE,2.7
16,25,0.25,1,8001,356117.8099,TRUE,FALSE,2.7
17,25,0.25,1,8001,356787.8304,TRUE,FALSE,2.7
18,25,0.25,1,8001,355185.4983,TRUE,FALSE,2.7
19,25,0.25,1,8001,361915.8458,TRUE,FALSE,2.7
0,25,0.25,1,929,45665.57741,FALSE,TRUE,2.9
1,25,0.25,1,68,3404.775189,FALSE,TRUE,2.9
2,25,0.25,1,2654,129806.3053,FALSE,TRUE,2.9
3,25,0.25,1,8001,390151.1034,TRUE,FALSE,2.9
4,25,0.25,1,3181,154842.8412,FALSE,TRUE,2.9
5,25,0.25,1,237,11488.22843,FALSE,TRUE,2.9
6,25,0.25,1,414,20194.72474,FALSE,TRUE,2.9
7,25,0.25,1,769,37593.47563,FALSE,TRUE,2.9
8,25,0.25,1,8001,389887.872,TRUE,FALSE,2.9
9,25,0.25,1,4750,232160.9231,FALSE,TRUE,2.9
10,25,0.25,1,500,24806.72668,FALSE,TRUE,2.9
11,25,0.25,1,8001,390926.1954,TRUE,FALSE,2.9
12,25,0.25,1,3511,170883.2747,FALSE,TRUE,2.9
13,25,0.25,1,1302,63223.46378,FALSE,TRUE,2.9
14,25,0.25,1,3784,185532.5304,FALSE,TRUE,2.9
15,25,0.25,1,5271,257740.525,FALSE,TRUE,2.9
