seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,iteration_interval
0,32,32,51.6,483,830.019836,TRUE,TRUE,0.1
0,32,32,51.8,484,815.4820202,TRUE,TRUE,0.1
0,32,32,52,501,827.7260484,TRUE,TRUE,0.1
0,32,32,52.2,495,826.5678335,TRUE,TRUE,0.1
0,32,32,52.4,523,834.065712,TRUE,TRUE,0.1
0,32,32,52.6,608,874.5596859,TRUE,TRUE,0.1
0,32,32,52.8,490,800.4774562,TRUE,TRUE,0.1
0,32,32,53,532,823.4902037,TRUE,TRUE,0.1
0,32,32,53.2,603,795.62889,TRUE,TRUE,0.1
0,32,32,53.4,516,826.5198363,TRUE,TRUE,0.1
0,32,32,53.6,530,834.4018801,TRUE,TRUE,0.1
0,32,32,53.8,508,823.4887915,TRUE,TRUE,0.1
0,32,32,54,569,891.3659299,TRUE,TRUE,0.1
0,32,32,54.2,492,810.7488958,TRUE,TRUE,0.1
0,32,32,54.4,485,811.7489609,TRUE,TRUE,0.1
0,32,32,54.6,561,822.2300789,TRUE,TRUE,0.1
0,32,32,54.8,669,877.0729744,TRUE,TRUE,0.1
0,32,32,55,497,818.86135,TRUE,TRUE,0.1
0,32,32,55.2,692,876.610579,TRUE,TRUE,0.1
0,32,32,55.4,531,826.1694801,TRUE,TRUE,0.1
0,32,32,55.6,622,881.4382443,TRUE,TRUE,0.1
0,32,32,55.8,552,827.2065257,TRUE,TRUE,0.1
0,32,32,56,670,843.3948825,TRUE,TRUE,0.1
0,32,32,56.2,646,864.4382252,TRUE,TRUE,0.1
0,32,32,56.4,526,840.0078678,TRUE,TRUE,0.1
0,32,32,56.6,531,860.8191905,TRUE,TRUE,0.1
0,32,32,56.8,519,819.0000974,TRUE,TRUE,0.1
0,32,32,57,529,834.3301871,TRUE,TRUE,0.1
0,32,32,57.2,554,867.7962036,TRUE,TRUE,0.1
0,32,32,57.4,498,811.6412801,TRUE,TRUE,0.1
0,32,32,57.6,505,796.8082084,TRUE,TRUE,0.1
0,32,32,57.8,540,817.6501489,TRUE,TRUE,0.1
0,32,32,58,593,837.5598288,TRUE,TRUE,0.1
0,32,32,58.2,494,809.4940331,TRUE,TRUE,0.1
0,32,32,58.4,537,843.9524476,TRUE,TRUE,0.1
0,32,32,58.6,530,822.104755,TRUE,TRUE,0.1
0,32,32,58.8,701,826.8292739,TRUE,TRUE,0.1
0,32,32,59,479,796.2434603,TRUE,TRUE,0.1
0,32,32,59.2,540,790.4926834,TRUE,TRUE,0.1
0,32,32,59.4,681,898.5759893,TRUE,TRUE,0.1
0,32,32,59.6,563,848.4116861,TRUE,TRUE,0.1
0,32,32,59.8,531,817.9351556,TRUE,TRUE,0.1
1,32,32,5,3201,2826.423653,TRUE,FALSE,0.1
1,32,32,5.2,3201,2654.09471,TRUE,FALSE,0.1
1,32,32,5.4,3201,2558.999592,TRUE,FALSE,0.1
1,32,32,5.6,3201,2364.981728,TRUE,FALSE,0.1
1,32,32,5.8,3201,2717.932052,TRUE,FALSE,0.1
1,32,32,6,3201,1900.425563,TRUE,FALSE,0.1
1,32,32,6.2,1156,1702.897545,TRUE,TRUE,0.1
1,32,32,6.4,879,1287.901726,TRUE,TRUE,0.1
1,32,32,6.6,926,1438.62243,TRUE,TRUE,0.1
1,32,32,6.8,878,1370.259365,TRUE,TRUE,0.1
1,32,32,7,735,1121.203234,TRUE,TRUE,0.1
1,32,32,7.2,805,1250.137584,TRUE,TRUE,0.1
1,32,32,7.4,844,1403.290438,TRUE,TRUE,0.1
1,32,32,7.6,837,1335.819571,TRUE,TRUE,0.1
1,32,32,7.8,761,1276.917628,TRUE,TRUE,0.1
1,32,32,8,698,1198.978138,TRUE,TRUE,0.1
1,32,32,8.2,728,1254.871966,TRUE,TRUE,0.1
1,32,32,8.4,745,1313.775362,TRUE,TRUE,0.1
1,32,32,8.6,702,1237.182158,TRUE,TRUE,0.1
1,32,32,8.8,615,1120.120964,TRUE,TRUE,0.1
1,32,32,9,666,1172.480888,TRUE,TRUE,0.1
1,32,32,9.2,616,1126.696878,TRUE,TRUE,0.1
1,32,32,9.4,649,1186.879702,TRUE,TRUE,0.1
1,32,32,9.6,560,1068.307666,TRUE,TRUE,0.1
1,32,32,9.8,681,1172.338743,TRUE,TRUE,0.1
1,32,32,10,619,1137.405352,TRUE,TRUE,0.1
1,32,32,10.2,497,973.7395327,TRUE,TRUE,0.1
1,32,32,10.4,637,1151.587261,TRUE,TRUE,0.1
1,32,32,10.6,570,1057.156955,TRUE,TRUE,0.1
1,32,32,10.8,620,1130.041094,TRUE,TRUE,0.1
1,32,32,11,619,1139.933097,TRUE,TRUE,0.1
1,32,32,11.2,523,1003.481717,TRUE,TRUE,0.1
1,32,32,11.4,540,1020.452034,TRUE,TRUE,0.1
1,32,32,11.6,586,1108.300479,TRUE,TRUE,0.1
1,32,32,11.8,584,1090.618388,TRUE,TRUE,0.1
1,32,32,12,569,1047.904262,TRUE,TRUE,0.1
1,32,32,12.2,479,981.3913373,TRUE,TRUE,0.1
1,32,32,12.4,467,941.2874162,TRUE,TRUE,0.1
1,32,32,12.6,520,973.1638162,TRUE,TRUE,0.1
1,32,32,12.8,496,992.0615802,TRUE,TRUE,0.1
1,32,32,13,482,947.6446194,TRUE,TRUE,0.1
1,32,32,13.2,517,1022.846376,TRUE,TRUE,0.1
1,32,32,13.4,548,1040.924854,TRUE,TRUE,0.1
1,32,32,13.6,574,1075.991801,TRUE,TRUE,0.1
1,32,32,13.8,574,1062.315899,TRUE,TRUE,0.1
1,32,32,14,561,1008.634632,TRUE,TRUE,0.1
1,32,32,14.2,484,939.4017398,TRUE,TRUE,0.1
1,32,32,14.4,439,883.1679852,TRUE,TRUE,0.1
1,32,32,14.6,512,989.0006365,TRUE,TRUE,0.1
1,32,32,14.8,546,1055.555643,TRUE,TRUE,0.1
1,32,32,15,562,1063.200421,TRUE,TRUE,0.1
1,32,32,15.2,514,1005.330448,TRUE,TRUE,0.1
1,32,32,15.4,479,924.6511611,TRUE,TRUE,0.1
1,32,32,15.6,508,988.0247997,TRUE,TRUE,0.1
1,32,32,15.8,594,1110.730072,TRUE,TRUE,0.1
1,32,32,16,443,907.3743556,TRUE,TRUE,0.1
1,32,32,16.2,504,958.3362383,TRUE,TRUE,0.1
1,32,32,16.4,458,935.9859581,TRUE,TRUE,0.1
1,32,32,16.6,504,995.0860109,TRUE,TRUE,0.1
1,32,32,16.8,443,917.7659226,TRUE,TRUE,0.1
1,32,32,17,526,1042.003975,TRUE,TRUE,0.1
1,32,32,17.2,468,935.8325227,TRUE,TRUE,0.1
1,32,32,17.4,497,988.2549003,TRUE,TRUE,0.1
1,32,32,17.6,574,934.1720932,TRUE,TRUE,0.1
1,32,32,17.8,431,877.5552988,TRUE,TRUE,0.1
1,32,32,18,492,967.3564711,TRUE,TRUE,0.1
1,32,32,18.2,532,1020.576253,TRUE,TRUE,0.1
1,32,32,18.4,474,938.4383002,TRUE,TRUE,0.1
1,32,32,18.6,525,954.1927001,TRUE,TRUE,0.1
1,32,32,18.8,440,888.6388649,TRUE,TRUE,0.1
1,32,32,19,452,942.5128041,TRUE,TRUE,0.1
1,32,32,19.2,524,969.7515616,TRUE,TRUE,0.1
1,32,32,19.4,513,971.2776248,TRUE,TRUE,0.1
1,32,32,19.6,478,907.4152818,TRUE,TRUE,0.1
1,32,32,19.8,445,897.5348774,TRUE,TRUE,0.1
1,32,32,20,525,1051.721716,TRUE,TRUE,0.1
1,32,32,20.2,477,928.1629311,TRUE,TRUE,0.1
1,32,32,20.4,453,919.190978,TRUE,TRUE,0.1
1,32,32,20.6,487,973.6884356,TRUE,TRUE,0.1
1,32,32,20.8,479,925.3407749,TRUE,TRUE,0.1
1,32,32,21,464,938.5600499,TRUE,TRUE,0.1
1,32,32,21.2,454,921.6897636,TRUE,TRUE,0.1
1,32,32,21.4,474,943.126944,TRUE,TRUE,0.1
1,32,32,21.6,426,894.6231846,TRUE,TRUE,0.1
1,32,32,21.8,432,899.5519256,TRUE,TRUE,0.1
1,32,32,22,451,882.3511563,TRUE,TRUE,0.1
1,32,32,22.2,444,888.6617673,TRUE,TRUE,0.1
1,32,32,22.4,429,859.52597,TRUE,TRUE,0.1
1,32,32,22.6,608,1066.979044,TRUE,TRUE,0.1
1,32,32,22.8,457,937.6874028,TRUE,TRUE,0.1
1,32,32,23,529,977.0273159,TRUE,TRUE,0.1
1,32,32,23.2,434,881.9585586,TRUE,TRUE,0.1
1,32,32,23.4,443,867.9234875,TRUE,TRUE,0.1
1,32,32,23.6,445,915.4837345,TRUE,TRUE,0.1
1,32,32,23.8,449,890.299389,TRUE,TRUE,0.1
1,32,32,24,451,892.3799349,TRUE,TRUE,0.1
1,32,32,24.2,457,874.3637322,TRUE,TRUE,0.1
1,32,32,24.4,475,903.5366929,TRUE,TRUE,0.1
1,32,32,24.6,500,931.7260159,TRUE,TRUE,0.1
