seed,robot count,iteration_interval,spring_constant,damping_coefficient,iteration,connectivity,converged,moved_distance,sum_consumed_energy,max_consumed_energy
1,32,0.1,0.4,2.45,3385,TRUE,TRUE,3220.455989,14302.12155,525.0013084
1,32,0.1,0.4,2.5,2458,TRUE,TRUE,3009.925238,12397.93787,436.6387087
1,32,0.1,0.4,2.55,3260,TRUE,TRUE,3139.854377,14040.81188,478.6288428
1,32,0.1,0.4,2.6,2864,TRUE,TRUE,3193.761814,13436.91441,458.5214409
1,32,0.1,0.4,2.65,2806,TRUE,TRUE,3203.213422,13394.97635,459.2206046
1,32,0.1,0.4,2.7,3010,TRUE,TRUE,3014.211873,13240.04012,457.3751112
1,32,0.1,0.4,2.75,2861,TRUE,TRUE,3135.701502,13385.22523,466.7607199
1,32,0.1,0.4,2.8,2736,TRUE,TRUE,3149.088395,13151.70351,451.367816
1,32,0.1,0.4,2.85,2579,TRUE,TRUE,3028.838607,12726.77211,442.1900731
1,32,0.1,0.4,2.9,3271,TRUE,TRUE,3183.818105,14113.97966,491.970536
1,32,0.1,0.4,2.95,2880,TRUE,TRUE,3089.826143,13251.35201,456.1682356
1,32,0.1,0.4,3,3170,TRUE,TRUE,3054.470991,13680.69797,491.1328735
1,32,0.1,0.4,3.05,3682,TRUE,TRUE,3130.976017,14765.01265,509.2524029
1,32,0.1,0.4,3.1,5801,TRUE,TRUE,3074.59772,17897.42609,666.1385604
1,32,0.1,0.4,3.15,3155,TRUE,TRUE,3072.354425,13629.6786,498.0425149
1,32,0.1,0.4,3.2,3503,TRUE,TRUE,3196.513405,14601.98486,499.4276267
1,32,0.1,0.4,3.25,2645,TRUE,TRUE,2958.256656,12650.08409,434.9329124
1,32,0.1,0.4,3.3,2778,TRUE,TRUE,2980.28766,12911.80815,453.3293705
1,32,0.1,0.4,3.35,2929,TRUE,TRUE,2999.291031,13176.93933,483.3850742
1,32,0.1,0.4,3.4,3522,TRUE,TRUE,3121.526838,14381.86904,483.5640122
1,32,0.1,0.4,3.45,2911,TRUE,TRUE,3008.103198,13217.46289,486.0862755
1,32,0.1,0.4,3.5,4245,TRUE,TRUE,3144.304125,15566.23516,563.4091379
1,32,0.1,0.4,3.55,3484,TRUE,TRUE,3059.824998,14163.14112,529.501706
1,32,0.1,0.4,3.6,4194,TRUE,TRUE,3090.239791,15456.4391,563.5831566
1,32,0.1,0.4,3.65,4772,TRUE,TRUE,3163.634145,16674.93424,592.3716953
1,32,0.1,0.4,3.7,3875,TRUE,TRUE,3062.462845,14929.34586,569.9781748
1,32,0.1,0.4,3.75,4417,TRUE,TRUE,3208.350219,16151.01352,574.1706873
1,32,0.1,0.4,3.8,4651,TRUE,TRUE,3118.938954,16510.54887,599.232873
1,32,0.1,0.4,3.85,3953,TRUE,TRUE,3199.512279,15351.10891,556.4896107
