seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
8,2,0.5,1.8,89,9.986964096,TRUE,TRUE
8,2,0.5,2,100,10.2429876,TRUE,TRUE
8,2,0.5,2.2,89,5.811064682,TRUE,TRUE
8,2,0.5,2.4,72,2.16225978,TRUE,TRUE
8,2,0.5,2.6,1,0,TRUE,TRUE
8,2,0.5,2.8,132,10.27785962,TRUE,TRUE
8,2,0.5,3,133,8.892680059,TRUE,TRUE
8,2,0.5,3.2,88,1.929523353,TRUE,TRUE
8,2,0.5,3.4,97,2.319687966,TRUE,TRUE
8,2,0.5,3.6,139,6.349660955,TRUE,TRUE
8,2,0.5,3.8,156,8.377046788,TRUE,TRUE
8,2,0.5,4,150,6.316277961,TRUE,TRUE
8,2,0.5,4.2,119,2.719414939,TRUE,TRUE
8,2,0.5,4.4,173,8.153438769,TRUE,TRUE
8,2,0.5,4.6,146,4.102682251,TRUE,TRUE
8,2,0.5,4.8,206,12.12851932,TRUE,TRUE
9,2,0.5,0.2,70,10.06629237,TRUE,TRUE
9,2,0.5,0.4,71,10.26417529,TRUE,TRUE
9,2,0.5,0.6,86,8.45386112,TRUE,TRUE
9,2,0.5,0.8,64,8.938964669,TRUE,TRUE
9,2,0.5,1,56,7.05726722,TRUE,TRUE
9,2,0.5,1.2,56,6.713661837,TRUE,TRUE
9,2,0.5,1.4,47,3.360097093,TRUE,TRUE
9,2,0.5,1.6,48,2.353178906,TRUE,TRUE
9,2,0.5,1.8,61,3.757341279,TRUE,TRUE
9,2,0.5,2,102,10.60089664,TRUE,TRUE
9,2,0.5,2.2,111,10.64039553,TRUE,TRUE
9,2,0.5,2.4,1,0,TRUE,TRUE
9,2,0.5,2.6,109,6.960303315,TRUE,TRUE
9,2,0.5,2.8,94,3.391843384,TRUE,TRUE
9,2,0.5,3,120,6.415354403,TRUE,TRUE
9,2,0.5,3.2,102,3.077497406,TRUE,TRUE
9,2,0.5,3.4,120,4.56599931,TRUE,TRUE
9,2,0.5,3.6,133,5.542396944,TRUE,TRUE
9,2,0.5,3.8,142,6.012164589,TRUE,TRUE
9,2,0.5,4,168,9.544869257,TRUE,TRUE
9,2,0.5,4.2,173,9.223451222,TRUE,TRUE
9,2,0.5,4.4,169,7.538571272,TRUE,TRUE
9,2,0.5,4.6,134,3.176522478,TRUE,TRUE
9,2,0.5,4.8,167,5.748701816,TRUE,TRUE
10,2,0.5,0.2,83,12.797087,TRUE,TRUE
10,2,0.5,0.4,100,11.9959286,TRUE,TRUE
10,2,0.5,0.6,66,9.282670786,TRUE,TRUE
10,2,0.5,0.8,50,5.893890172,TRUE,TRUE
10,2,0.5,1,68,9.538429627,TRUE,TRUE
10,2,0.5,1.2,49,5.247681257,TRUE,TRUE
10,2,0.5,1.4,80,10.90335783,TRUE,TRUE
10,2,0.5,1.6,80,9.838359314,TRUE,TRUE
10,2,0.5,1.8,87,9.607554672,TRUE,TRUE
10,2,0.5,2,1,0,TRUE,TRUE
10,2,0.5,2.2,81,4.37439263,TRUE,TRUE
10,2,0.5,2.4,110,8.708432162,TRUE,TRUE
10,2,0.5,2.6,90,3.605266284,TRUE,TRUE
10,2,0.5,2.8,134,10.75483065,TRUE,TRUE
